actual_squared_residual,certificate,certificate_passed,chebyshev_budget,converged,coverage_slack,covered,family,hessian_product_saving,name,raw_certificate_excess,reference_certificate_passed,reference_selected_degree,same_acceptance_decision_as_reference,selected_degree,tolerance
1.0119819954727138e-20,2.8179250322057925e-08,True,9,True,1.9894442404910423e-13,True,two_point,0.6666666666666667,two_point_k10_0,-2.8179250322047804e-08,True,2,True,3,0.01
3.166891734008398e-09,1e-08,False,16,True,1.136868395785522e-13,True,two_point,0.0,two_point_k10_0,-6.833108265991602e-09,True,2,False,16,0.0001
3.3018626511184666e-13,1e-12,False,23,True,1.136868377218048e-13,True,two_point,0.0,two_point_k10_0,-6.698137348881533e-13,True,2,False,23,1e-06
2.280834858278652e-21,3.293311542917898e-08,True,9,True,3.266609842810019e-13,True,two_point,0.6666666666666667,two_point_k10_1,-3.29331154291767e-08,True,2,True,3,0.01
3.1668917340083986e-09,1e-08,False,16,True,1.136868395785522e-13,True,two_point,0.0,two_point_k10_1,-6.833108265991601e-09,True,2,False,16,0.0001
3.3018626482348566e-13,1e-12,False,23,True,1.136868377218048e-13,True,two_point,0.0,two_point_k10_1,-6.698137351765144e-13,True,2,False,23,1e-06
3.675163746720333e-18,2.7889817455495347e-08,True,9,True,1.9894442905532685e-13,True,two_point,0.6666666666666667,two_point_k10_2,-2.7889817451820184e-08,True,2,True,3,0.01
3.1668917340083986e-09,1e-08,False,16,True,1.136868395785522e-13,True,two_point,0.0,two_point_k10_2,-6.833108265991601e-09,True,2,False,16,0.0001
3.3018626511306496e-13,1e-12,False,23,True,1.136868377218048e-13,True,two_point,0.0,two_point_k10_2,-6.69813734886935e-13,True,2,False,23,1e-06
1.9721522630525295e-31,1.4488410471358293e-13,True,9,True,5.798739266538332e-13,True,two_point,0.7777777777777778,two_point_k10_3,-1.4488410471358293e-13,True,2,True,2,0.01
1.9721522630525295e-31,1.4488410471358293e-13,True,16,True,5.798739266538332e-13,True,two_point,0.875,two_point_k10_3,-1.4488410471358293e-13,True,2,True,2,0.0001
1.9721522630525295e-31,1.4488410471358293e-13,True,23,True,5.798739266538332e-13,True,two_point,0.9130434782608696,two_point_k10_3,-1.4488410471358293e-13,True,2,True,2,1e-06
4.390850087980565e-23,1.715250164124882e-11,True,27,True,6.836813843925421e-11,True,two_point,0.9259259259259259,two_point_k100_0,-1.715250164120491e-11,True,2,True,2,0.01
4.390850087980565e-23,1.715250164124882e-11,True,50,True,6.836813843925421e-11,True,two_point,0.96,two_point_k100_0,-1.715250164120491e-11,True,2,True,2,0.0001
7.553258296146057e-13,1e-12,False,73,True,1.1368683772190148e-13,True,two_point,0.0,two_point_k100_0,-2.446741703853943e-13,False,73,True,73,1e-06
0.0,1.709565822238801e-11,True,27,True,6.836813852828769e-11,True,two_point,0.9259259259259259,two_point_k100_1,-1.709565822238801e-11,True,2,True,2,0.01
0.0,1.709565822238801e-11,True,50,True,6.836813852828769e-11,True,two_point,0.96,two_point_k100_1,-1.709565822238801e-11,True,2,True,2,0.0001
7.553258296146057e-13,1e-12,False,73,True,1.1368683772190148e-13,True,two_point,0.0,two_point_k100_1,-2.446741703853943e-13,False,73,True,73,1e-06
