system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,weyl_lower,weyl_upper,exact_lower,exact_upper,weyl_condition_number,exact_condition_number,interval_chebyshev_degree,maximum_control_fraction,newton_decrement_half
44,double_integrator,20,1,0,8,0.1,0.23600351798333052,255.50521270244045,0.24108255033362364,242.9601230110382,1082.6330678701465,1007.7880903234858,61,0.9795709787638395,0.057256256514523124
45,double_integrator,20,1,0,9,0.1,0.23375520699445348,258.7169587093715,0.2411843973097138,246.00051638011536,1106.7858638781481,1019.9686178879017,62,0.9797065335821226,0.030377549441149412
46,double_integrator,20,1,0,10,0.1,0.23102265227573507,261.0550731103299,0.24126363127485048,248.33116819313665,1129.9977319918823,1029.293834636165,62,0.9798035359523257,0.012485513776395386
47,double_integrator,20,1,0,11,0.1,0.2292062620051533,262.73380158921464,0.241315713219956,250.00751516028083,1146.2767172709598,1036.0183836532947,63,0.9798723304243064,0.002769244095549683
48,double_integrator,20,1,0,12,0.1,0.22825798406211445,263.66972216038397,0.24134326111862045,250.94242268216811,1155.1390994876795,1039.7738951527206,63,0.9799103806346431,0.00014544010687748455
49,double_integrator,20,1,0,13,0.1,0.22801165016172897,263.9225498280541,0.2413506355746988,251.19499485610152,1157.495898305431,1040.7886196693103,63,0.9799206224742973,4.515367463546725e-07
50,double_integrator,20,1,1,0,0.03,0.08415984579753984,90.29001535735209,0.09019837953510874,78.29238195457786,1072.8396006637104,868.0020900386952,61,0.9799212217710402,0.5747740372831958
51,double_integrator,20,1,1,1,0.03,0.08901849374045542,2976521.313995909,0.09326285255896288,2976508.329281388,33437111.648668535,31915261.51743613,10664,0.9998996061088552,0.07409424311867843
52,double_integrator,20,1,1,2,0.03,0.09456824354444894,759513.846609931,0.09971450756417759,759500.8619305458,8031383.666896007,7616753.87547515,5227,0.9998012544932743,0.04051678222867313
53,double_integrator,20,1,1,3,0.03,0.09498025605595514,196817.48364532515,0.10008726513937058,196804.49910101783,2072193.6517982774,1966329.0712057066,2655,0.9996095671887647,0.026133155722601928
54,double_integrator,20,1,1,4,0.03,0.09504987088906157,52580.59860268298,0.10016126986612969,52567.614560683534,553189.5846976264,524829.7533661729,1372,0.9992445365736805,0.016487752710592028
55,double_integrator,20,1,1,5,0.03,0.09508589412006888,14909.554999700338,0.10019996380128857,14896.572712869885,156800.91287645072,148668.4440566466,731,0.9985807475561482,0.010144161503232925
56,double_integrator,20,1,1,6,0.03,0.09510791845226804,4736.345540165011,0.10022365545429981,4723.368749729951,49799.69719915643,47128.28252291917,412,0.9974790276355529,0.005633694746174114
57,double_integrator,20,1,1,7,0.03,0.09512280814334888,1845.4060033263029,0.10023968515172707,1832.4435767621653,19400.247315505017,18280.619836230537,257,0.9959505969231508,0.0020800508004714404
58,double_integrator,20,1,1,8,0.03,0.09513431607341442,990.0961375252302,0.10025207442272521,977.1611790693289,10407.350138105588,9747.041990862039,189,0.994450774684188,0.0002925433210307406
59,double_integrator,20,1,1,9,0.03,0.09514011474050524,766.9908138142706,0.10025831523764252,754.0824646625322,8061.697380818163,7521.395735357499,166,0.993680134553322,6.039865981028405e-06
60,double_integrator,20,1,1,10,0.03,0.0951410635575048,737.893663919159,0.1002593362326626,724.9915092535906,7755.785318430502,7231.162069247792,163,0.9935540475195238,3.7508288252251755e-09
61,double_integrator,20,1,2,0,0.01,0.04672384255474274,256.3052438444328,0.050416968984633714,243.57945271567266,5485.534361694239,4831.299017398523,137,0.9935508428265619,0.19337292097296918
62,double_integrator,20,1,2,1,0.01,0.047122730011475836,968.0585710260276,0.05100943235527807,955.1345827931409,20543.346507943737,18724.665982179093,265,0.9967592985203474,0.032301192980180464
63,double_integrator,20,1,2,2,0.01,0.04922289930436026,3263.9715540865377,0.0539159873611071,3251.0052377023117,66310.02237199403,60297.61109498776,475,0.9982453708120286,0.005537944233040517
64,double_integrator,20,1,2,3,0.01,0.04974619237247423,2252.602388218473,0.05448397676758759,2239.6439714106414,45281.90562510052,41106.470274082516,393,0.997885570528648,0.0005624039681172794
65,double_integrator,20,1,2,4,0.01,0.04981798353164518,2076.392589522855,0.05456837870662927,2063.436201152264,41679.579186578216,37813.77145628089,377,0.9977970149740234,1.42021804806334e-05
66,double_integrator,20,1,2,5,0.01,0.04982344063208006,2069.117409267954,0.0545744506090388,2056.161100363456,41528.994846969705,37676.25834831414,376,0.9977931155514401,2.5034273615932e-08
67,double_integrator,20,2,0,0,0.1,0.22251521999410248,16.069726548795384,0.22251521999410254,16.06972654879538,72.21855003545957,72.21855003545953,16,0.0,116.71876831272988
68,double_integrator,20,2,0,1,0.1,0.22254317805525906,4015.894852018928,0.22305228259307391,4002.919049006244,18045.46374826081,17946.102153587828,248,0.9949999999999999,68.53107617342195
69,double_integrator,20,2,0,2,0.1,0.22259908934949837,11073.7109338731,0.22389134447119938,11059.986490982901,49747.332597962646,49398.90158373505,412,0.9969927791911908,37.391912587735675
70,double_integrator,20,2,0,3,0.1,0.22336719652642023,13354.649963569655,0.2254717816028322,13340.326211655958,59787.87472488175,59166.27844434608,451,0.997261943854226,18.973041892221712
71,double_integrator,20,2,0,4,0.1,0.22508428683242118,11219.399286891678,0.22825846073445563,11204.604979601001,49845.32436617709,49087.358880579995,412,0.997012395851507,8.385382651744901
72,double_integrator,20,2,0,5,0.1,0.22267346988295436,6861.7082002809075,0.2330097260343282,6846.555987181494,30815.113286228854,29383.13393052453,324,0.9961780282547286,2.6589407709821247
73,double_integrator,20,2,0,6,0.1,0.23499943183004623,14846.759808031122,0.23988104400616042,14831.463369583998,63177.8540586789,61828.409289410585,464,0.9974033300092244,0.4900930579095419
74,double_integrator,20,2,0,7,0.1,0.2405522535626411,3807.0188335910607,0.245615719406118,3791.7240526144033,15826.161581145581,15437.627777988038,232,0.9948641065351239,0.15588671755256892
75,double_integrator,20,2,0,8,0.1,0.23075907359224695,1002.7423983836778,0.2455615529566178,987.4555638571069,4345.40832034857,4021.2140376533453,122,0.9899335811842553,0.1014174689227212
76,double_integrator,20,2,0,9,0.1,0.22628300606409565,420.9794906269872,0.2450383378424129,408.17667957959975,1860.411428809386,1665.7666027840226,80,0.9842881523763571,0.06163042655148508
77,double_integrator,20,2,0,10,0.1,0.22447013001310878,425.6880016712019,0.24448472986840553,412.8736522581622,1896.4126837113795,1688.750264609133,81,0.9843786775946106,0.03384206855779755
78,double_integrator,20,2,0,11,0.1,0.22350093359108417,429.20230168616894,0.24410699818288564,416.38568020494165,1920.3602185905613,1705.7506884459917,81,0.9844452324952636,0.015164403380644483
79,double_integrator,20,2,0,12,0.1,0.22297035232025178,431.7544566740381,0.24379411022775516,418.9367932271097,1936.376079515317,1718.4040780793857,82,0.9844930362694112,0.004069716560097955
80,double_integrator,20,2,0,13,0.1,0.22273840763965527,433.31320241559774,0.24358556041813847,420.4949826604337,1945.3905907265396,1726.272205703051,82,0.9845220168453568,0.00031299153801914235
81,double_integrator,20,2,0,14,0.1,0.22267804840751398,433.8392483099566,0.24351172224194834,421.0208470492624,1948.2802701593878,1728.9551532592939,82,0.9845317606082156,1.97263307374185e-06
82,double_integrator,20,2,1,0,0.03,0.08256264874116982,141.27405535696784,0.09027258514787886,128.897909335004,1711.1134091622425,1427.8743554740518,77,0.9845325915636024,0.6467959596718467
