repeat,system,method,products,accepted_degree_two,total_ns
2,60,cg,1,False,15291
2,10,cost_gated_certificate,38,False,160375
1,114,cost_gated_certificate,75,False,258666
3,142,interval_chebyshev,43,False,131167
3,56,certificate,2,True,46209
2,184,cg,4,False,22875
4,200,direct,0,False,9708
3,162,certificate,2,True,38875
1,55,direct,0,False,9834
0,203,cg,3,False,19708
0,49,cg,9,False,37292
3,115,certificate,71,False,242000
4,120,cg,2,False,12417
4,81,direct,0,False,8542
1,29,direct,0,False,8250
0,201,interval_chebyshev,74,False,221458
2,42,direct,0,False,6916
0,199,direct,0,False,7000
1,79,certificate,82,False,263792
0,194,certificate,40,False,147083
4,196,interval_chebyshev,16,False,50958
0,114,direct,0,False,8084
4,6,cost_gated_certificate,106,False,346375
3,61,cost_gated_certificate,137,False,433541
1,30,cg,2,False,14125
4,152,interval_chebyshev,282,False,844417
0,158,cg,10,False,41750
2,159,direct,0,False,12333
3,155,cg,1,False,9084
4,168,cg,2,False,11625
2,18,certificate,2,True,45625
4,40,certificate,308,False,948000
2,178,cost_gated_certificate,16,False,51541
0,135,cost_gated_certificate,537,False,1624416
4,116,cost_gated_certificate,13087,False,38499541
0,207,interval_chebyshev,22,False,99875
2,181,interval_chebyshev,17,False,52542
2,31,interval_chebyshev,611,False,1922791
3,216,direct,0,False,55459
2,55,certificate,2,True,91458
4,123,direct,0,False,12292
0,193,interval_chebyshev,40,False,139625
3,228,cost_gated_certificate,2,True,71000
3,147,direct,0,False,15417
1,173,certificate,28,False,120625
0,79,direct,0,False,10125
4,83,certificate,13523,False,40968500
2,45,direct,0,False,59833
0,119,direct,0,False,11625
0,195,direct,0,False,8292
0,164,direct,0,False,7875
0,135,cg,6,False,59959
2,89,interval_chebyshev,322,False,1052292
2,199,cost_gated_certificate,2,True,107459
1,127,cost_gated_certificate,324,False,1038125
3,16,direct,0,False,16792
1,94,cost_gated_certificate,328,False,1011209
0,219,certificate,48,False,177417
2,147,certificate,2,True,39583
4,124,cg,1,False,14583
0,126,cost_gated_certificate,164,False,556333
2,127,direct,0,False,27292
0,219,cost_gated_certificate,48,False,204458
1,18,direct,0,False,12625
4,91,cost_gated_certificate,2,True,458666
1,144,direct,0,False,47084
3,220,certificate,2,True,79583
1,67,cg,2,False,19250
3,212,cg,1,False,8833
2,54,direct,0,False,12334
1,93,certificate,172,False,543250
4,145,certificate,43,False,161459
1,105,certificate,540,False,1642500
3,153,direct,0,False,14875
1,60,cost_gated_certificate,2,True,45417
4,33,interval_chebyshev,271,False,880208
2,77,cost_gated_certificate,81,False,325375
0,119,cost_gated_certificate,2,True,47834
4,154,interval_chebyshev,125,False,367500
0,116,certificate,13087,False,38605166
4,209,cg,1,False,42167
4,206,cg,3,False,16667
3,190,cg,4,False,18416
4,204,cost_gated_certificate,22,False,165792
1,222,direct,0,False,14458
1,189,cg,6,False,26708
1,61,certificate,137,False,428291
0,0,interval_chebyshev,16,False,49750
2,228,interval_chebyshev,100,False,283708
2,205,cost_gated_certificate,22,False,93583
0,136,cost_gated_certificate,418,False,1219958
3,77,certificate,81,False,263375
3,104,cost_gated_certificate,322,False,933166
2,209,cg,1,False,8083
2,31,cg,2,False,11125
0,8,cg,5,False,21291
4,199,certificate,2,True,39416
2,208,cg,5,False,22500
0,202,certificate,2,True,34375
2,97,direct,0,False,9458
3,81,certificate,82,False,263917
1,180,cost_gated_certificate,18,False,54375
1,31,certificate,2,True,34333
2,156,interval_chebyshev,105,False,307875
2,151,interval_chebyshev,505,False,1444041
2,84,direct,0,False,8250
3,15,interval_chebyshev,6296,False,18003667
1,220,interval_chebyshev,6292,False,18428625
0,188,cost_gated_certificate,27,False,185459
4,217,interval_chebyshev,48,False,143000
4,104,cg,10,False,48708
0,50,cost_gated_certificate,61,False,221459
1,76,cost_gated_certificate,80,False,269167
1,205,interval_chebyshev,22,False,66667
0,84,direct,0,False,13041
1,166,cg,3,False,17292
2,115,cost_gated_certificate,71,False,237584
3,103,direct,0,False,9375
0,152,interval_chebyshev,282,False,819583
3,182,direct,0,False,8000
3,74,cost_gated_certificate,2,True,40334
4,212,certificate,2,True,37375
2,194,interval_chebyshev,40,False,120625
1,194,certificate,40,False,141917
4,89,interval_chebyshev,322,False,962292
4,83,cost_gated_certificate,13523,False,38897000
2,182,cg,3,False,36167
4,51,cg,3,False,15250
1,81,certificate,82,False,301250
2,129,cg,12,False,47250
3,89,interval_chebyshev,322,False,900292
3,214,cg,1,False,7166
0,209,certificate,2,True,41291
0,191,direct,0,False,9833
1,169,cg,2,False,11666
0,82,interval_chebyshev,77,False,217042
0,193,cg,5,False,20584
0,47,interval_chebyshev,63,False,177084
3,173,direct,0,False,7875
2,191,interval_chebyshev,38,False,107875
3,223,interval_chebyshev,834,False,2324959
4,217,cost_gated_certificate,2,True,36000
1,160,cost_gated_certificate,232,False,670209
3,134,cost_gated_certificate,535,False,1509583
2,82,interval_chebyshev,77,False,214959
3,148,interval_chebyshev,3639,False,10426875
2,227,cg,1,False,12583
3,2,certificate,614,False,1858417
0,65,cg,11,False,52542
3,102,cost_gated_certificate,576,False,1792459
1,28,cg,2,False,17375
4,41,cg,8,False,32292
2,99,certificate,2,True,47916
1,119,certificate,2,True,38333
2,94,direct,0,False,9250
3,103,cost_gated_certificate,431,False,1284208
0,40,cg,8,False,35083
1,32,direct,0,False,9416
2,77,interval_chebyshev,81,False,230125
3,66,cost_gated_certificate,376,False,1109041
3,81,cost_gated_certificate,82,False,273708
1,145,direct,0,False,14209
2,60,certificate,2,True,42292
0,84,cg,3,False,17708
4,135,cost_gated_certificate,537,False,1549167
4,49,cost_gated_certificate,63,False,209208
0,66,cost_gated_certificate,376,False,1130000
1,97,interval_chebyshev,443,False,1276334
2,87,direct,0,False,20417
3,119,cg,2,False,17333
4,130,cost_gated_certificate,469,False,1402959
2,58,certificate,2,True,41209
1,174,certificate,28,False,105167
2,177,cost_gated_certificate,37,False,130333
1,91,cg,1,False,9541
1,18,cg,2,False,11250
2,6,interval_chebyshev,106,False,306459
2,63,cost_gated_certificate,475,False,1396166
3,54,certificate,2,True,46750
0,18,direct,0,False,8042
4,179,direct,0,False,6833
1,164,direct,0,False,6875
2,106,cg,3,False,15584
3,210,cost_gated_certificate,2,True,33208
3,100,direct,0,False,7375
1,11,certificate,39,False,137542
4,195,certificate,40,False,141542
1,82,certificate,77,False,248791
1,214,certificate,2,True,34125
3,183,direct,0,False,7792
2,113,cg,12,False,45708
4,165,certificate,2,True,31958
1,10,cg,7,False,28750
0,175,cost_gated_certificate,37,False,130417
2,46,cost_gated_certificate,62,False,201958
4,121,interval_chebyshev,510,False,1444834
1,55,cg,2,False,11417
4,107,cost_gated_certificate,138,False,463417
4,84,direct,0,False,9417
1,123,cg,1,False,8125
2,2,certificate,614,False,1776167
3,90,cost_gated_certificate,2,True,33500
3,193,direct,0,False,7625
3,1,interval_chebyshev,248,False,824209
1,221,direct,0,False,44583
4,60,interval_chebyshev,163,False,465041
1,102,cost_gated_certificate,576,False,1652875
0,137,cost_gated_certificate,211,False,619708
3,224,direct,0,False,10542
0,85,interval_chebyshev,3287,False,9291333
3,73,cost_gated_certificate,464,False,1396792
0,177,certificate,37,False,148792
0,123,interval_chebyshev,231,False,691583
1,47,interval_chebyshev,63,False,182875
4,97,cost_gated_certificate,443,False,1329792
2,21,cg,1,False,12666
3,198,cost_gated_certificate,2,True,43500
3,16,certificate,2,True,38167
4,30,direct,0,False,10500
4,157,certificate,90,False,285375
3,127,interval_chebyshev,324,False,926459
4,223,direct,0,False,8458
2,102,interval_chebyshev,576,False,1671292
2,149,cg,2,False,17500
4,92,direct,0,False,13292
3,133,certificate,2,True,42084
0,109,direct,0,False,9542
3,195,interval_chebyshev,40,False,118375
1,83,certificate,13523,False,38204875
3,172,certificate,27,False,160958
4,123,cost_gated_certificate,2,True,43583
2,161,certificate,228,False,720833
3,62,certificate,265,False,813958
4,81,cg,11,False,50541
4,146,cost_gated_certificate,45,False,165458
3,192,interval_chebyshev,41,False,116750
1,161,cg,11,False,42208
1,106,cg,3,False,14208
2,40,cg,8,False,30417
1,189,cost_gated_certificate,27,False,104250
4,226,cg,1,False,7541
2,65,cg,11,False,43916
3,111,direct,0,False,9625
4,178,cg,2,False,12250
0,12,cg,7,False,27750
1,54,certificate,2,True,38541
0,74,direct,0,False,8625
4,80,certificate,82,False,257833
0,222,cost_gated_certificate,2,True,34583
2,91,cost_gated_certificate,2,True,32917
0,210,cost_gated_certificate,2,True,32250
0,51,cost_gated_certificate,10664,False,30701500
0,53,interval_chebyshev,2655,False,7776375
4,76,certificate,80,False,350333
4,172,certificate,27,False,112750
3,159,interval_chebyshev,264,False,742792
3,13,interval_chebyshev,39,False,112917
1,67,direct,0,False,18333
1,183,certificate,16,False,76084
4,161,interval_chebyshev,228,False,643500
3,16,cg,2,False,18792
1,15,cg,2,False,11875
2,160,direct,0,False,9958
3,66,interval_chebyshev,376,False,1114417
3,90,certificate,2,True,44583
3,129,certificate,489,False,1472541
1,77,certificate,81,False,258042
3,156,direct,0,False,8542
3,65,direct,0,False,7084
1,110,certificate,73,False,230125
0,92,cg,1,False,8375
1,123,cost_gated_certificate,2,True,37000
0,156,cost_gated_certificate,2,True,33208
4,139,direct,0,False,7917
4,194,cg,6,False,25709
3,88,direct,0,False,7334
3,115,interval_chebyshev,71,False,199500
3,35,cg,1,False,9875
4,4,cg,4,False,17625
