plant,horizon,state_index,state_0,state_1,reference_converged,newton_systems,final_maximum_control_fraction
double_integrator,20,0,0.75,0.0,True,36,0.9960712090663464
double_integrator,20,1,0.692909649383465,0.2870125742738173,True,31,0.9977931036822616
double_integrator,20,2,0.5303300858899107,0.5303300858899106,True,32,0.9983076481044014
double_integrator,20,3,0.2870125742738174,0.692909649383465,True,33,0.9981095919258454
double_integrator,20,4,4.592425496802574e-17,0.75,True,30,0.9960792403078287
double_integrator,20,5,-0.2870125742738173,0.692909649383465,True,16,0.9089218921866851
double_integrator,20,6,-0.5303300858899106,0.5303300858899107,True,18,0.949113081449983
double_integrator,20,7,-0.692909649383465,0.28701257427381743,True,34,0.9900712850006966
double_integrator,40,0,0.75,0.0,True,36,0.9960728785161875
double_integrator,40,1,0.692909649383465,0.2870125742738173,True,31,0.9977997168889515
double_integrator,40,2,0.5303300858899107,0.5303300858899106,True,31,0.9983231751098777
double_integrator,40,3,0.2870125742738174,0.692909649383465,True,31,0.9981297347743665
double_integrator,40,4,4.592425496802574e-17,0.75,True,29,0.9960923821431487
double_integrator,40,5,-0.2870125742738173,0.692909649383465,True,16,0.9089287327679637
double_integrator,40,6,-0.5303300858899106,0.5303300858899107,True,15,0.9491127424682266
double_integrator,40,7,-0.692909649383465,0.28701257427381743,True,34,0.9900716836604324
double_integrator,60,0,0.75,0.0,True,35,0.9960728785172135
double_integrator,60,1,0.692909649383465,0.2870125742738173,True,30,0.9977997168920438
double_integrator,60,2,0.5303300858899107,0.5303300858899106,True,31,0.9983231751188353
double_integrator,60,3,0.2870125742738174,0.692909649383465,True,30,0.9981297347830602
double_integrator,60,4,4.592425496802574e-17,0.75,True,28,0.9960923820096755
double_integrator,60,5,-0.2870125742738173,0.692909649383465,True,15,0.9089287327779367
double_integrator,60,6,-0.5303300858899106,0.5303300858899107,True,15,0.9491127424684255
double_integrator,60,7,-0.692909649383465,0.28701257427381743,True,33,0.9900716836607166
damped_oscillator,20,0,0.75,0.0,True,34,0.9861269642611082
damped_oscillator,20,1,0.692909649383465,0.2870125742738173,True,34,0.9906249572209269
damped_oscillator,20,2,0.5303300858899107,0.5303300858899106,True,33,0.9918835522797309
damped_oscillator,20,3,0.2870125742738174,0.692909649383465,True,33,0.9911936359886226
damped_oscillator,20,4,4.592425496802574e-17,0.75,True,28,0.9868595821191848
damped_oscillator,20,5,-0.2870125742738173,0.692909649383465,True,20,0.943839632543149
damped_oscillator,20,6,-0.5303300858899106,0.5303300858899107,True,17,0.9034859289835887
damped_oscillator,20,7,-0.692909649383465,0.28701257427381743,True,33,0.97049611995764
damped_oscillator,40,0,0.75,0.0,True,34,0.9861386919743474
damped_oscillator,40,1,0.692909649383465,0.2870125742738173,True,34,0.9906322489338364
damped_oscillator,40,2,0.5303300858899107,0.5303300858899106,True,33,0.991888893625233
damped_oscillator,40,3,0.2870125742738174,0.692909649383465,True,28,0.9911963069800664
damped_oscillator,40,4,4.592425496802574e-17,0.75,True,28,0.9868639587779555
damped_oscillator,40,5,-0.2870125742738173,0.692909649383465,True,20,0.9438587357750984
damped_oscillator,40,6,-0.5303300858899106,0.5303300858899107,True,17,0.9036159979841925
damped_oscillator,40,7,-0.692909649383465,0.28701257427381743,True,32,0.9705035942412885
damped_oscillator,60,0,0.75,0.0,True,34,0.9861386920107639
damped_oscillator,60,1,0.692909649383465,0.2870125742738173,True,34,0.9906322489564481
damped_oscillator,60,2,0.5303300858899107,0.5303300858899106,True,33,0.9918888936408167
damped_oscillator,60,3,0.2870125742738174,0.692909649383465,True,28,0.9911963069877022
damped_oscillator,60,4,4.592425496802574e-17,0.75,True,28,0.9868639587901382
damped_oscillator,60,5,-0.2870125742738173,0.692909649383465,True,20,0.9438587358266913
damped_oscillator,60,6,-0.5303300858899106,0.5303300858899107,True,17,0.9036159983369504
damped_oscillator,60,7,-0.692909649383465,0.28701257427381743,True,32,0.9705035942623744
