method,converged,failure,converged_stages,newton_updates,linear_systems,matrix_products,degree_two_acceptances,line_search_backtracks,maximum_linear_relative_residual,final_scaled_gradient,quadratic_objective,terminal_barrier_objective,maximum_control_fraction,feasibility_violation,solution_json,plant,horizon,state_index
certificate,True,,3,11,14,1227,1,0,0.045156356168495254,8.4669410684368e-08,-393.41925909039423,-393.3261017870034,0.9089256574973665,0.0,"[-0.9089256574973665,-0.9064014916501775,-0.8932912363050944,-0.8675463482738954,-0.8223128706501627,-0.7456179399773833,-0.6250826612388003,-0.4693804421418172,-0.3163321297472114,-0.19624009784338484,-0.11378476714069127,-0.061237303846807783,-0.029417114571784392,-0.011078370552987717,-0.001166907740456359,0.003662416703358908,0.005554658136660146,0.005847589999844634,0.0053498396282438115,0.004531021491289684,0.0036488783004553094,0.0028326312633466825,0.0021364837550643836,0.0015731522102684036,0.0011342823036000948,0.0008024268370144397,0.000557716563574873,0.00038128324170004404,0.00025676499331513044,0.00017073644773124867,0.00011258472319913979,7.414287383900923e-05,4.925747770101548e-05,3.338139318700083e-05,2.322983239629717e-05,1.650701454738895e-05,1.169462459513489e-05,7.887196196149538e-06,4.659797683552848e-06,1.957305596430304e-06]",double_integrator,40,5
cost_gated_certificate,True,,3,11,14,1227,1,0,0.045156356168495254,8.4669410684368e-08,-393.41925909039423,-393.3261017870034,0.9089256574973665,0.0,"[-0.9089256574973665,-0.9064014916501775,-0.8932912363050944,-0.8675463482738954,-0.8223128706501627,-0.7456179399773833,-0.6250826612388003,-0.4693804421418172,-0.3163321297472114,-0.19624009784338484,-0.11378476714069127,-0.061237303846807783,-0.029417114571784392,-0.011078370552987717,-0.001166907740456359,0.003662416703358908,0.005554658136660146,0.005847589999844634,0.0053498396282438115,0.004531021491289684,0.0036488783004553094,0.0028326312633466825,0.0021364837550643836,0.0015731522102684036,0.0011342823036000948,0.0008024268370144397,0.000557716563574873,0.00038128324170004404,0.00025676499331513044,0.00017073644773124867,0.00011258472319913979,7.414287383900923e-05,4.925747770101548e-05,3.338139318700083e-05,2.322983239629717e-05,1.650701454738895e-05,1.169462459513489e-05,7.887196196149538e-06,4.659797683552848e-06,1.957305596430304e-06]",double_integrator,40,5
interval_chebyshev,True,,3,16,19,1891,0,0,0.04927995835829797,8.466944495917283e-08,-393.41925909039537,-393.32610178700344,0.9089256574839407,0.0,"[-0.9089256574839407,-0.9064014916809247,-0.893291236299693,-0.8675463482829636,-0.8223128706431329,-0.7456179399721007,-0.6250826612321982,-0.46938044213872904,-0.31633212974330505,-0.1962400978393126,-0.11378476713779878,-0.061237303844704154,-0.029417114570942884,-0.011078370552900486,-0.0011669077414864651,0.0036624167016879195,0.005554658134398045,0.005847589997186353,0.005349839625801278,0.004531021488852527,0.0036488782982218733,0.0028326312614479045,0.002136483752863825,0.0015731522083262416,0.0011342823020275416,0.0008024268355316842,0.000557716562504872,0.0003812832413235379,0.0002567649935571032,0.00017073644855345818,0.00011258472474478909,7.414287580619503e-05,4.9257480175183516e-05,3.3381395968708124e-05,2.3229835274144058e-05,1.650701726741094e-05,1.169462695880654e-05,7.887198056876049e-06,4.6597989340449355e-06,1.957306198694704e-06]",double_integrator,40,5
cg,True,,3,16,19,131,0,0,0.04595853484361689,9.775212137008454e-09,-393.41925713383273,-393.3261017876072,0.9089293786119932,0.0,"[-0.9089293786119932,-0.9063885788244979,-0.8932836178606969,-0.8675134724349417,-0.822331072986798,-0.7456357683126678,-0.6250958951471067,-0.4693880916161548,-0.3163316156466841,-0.19625765221775684,-0.11378332784545145,-0.06122902446778408,-0.029416557900419128,-0.011082543225370249,-0.001168440330479539,0.0036662795222265616,0.005561993267462019,0.005854982414623006,0.005354898375471834,0.0045331913475128525,0.003649004577726589,0.0028320741233819795,0.0021363669426391904,0.001573990848635962,0.0011359721226534957,0.000804450331871665,0.0005594077421567713,0.0003820417461042065,0.0002561756405589597,0.0001686016480148586,0.00010890310092807751,6.906966080967984e-05,4.3069861074179573e-05,2.6455304546963447e-05,1.6021629067836702e-05,9.528112439250125e-06,5.469503992227033e-06,2.8926439134702723e-06,1.2518482504750948e-06,2.983971902329804e-07]",double_integrator,40,5
direct,True,,3,16,19,0,0,0,0.0,1.4991486851261926e-08,-393.4192574843686,-393.32610178762155,0.9089287327679637,0.0,"[-0.9089287327679637,-0.9063917071232559,-0.8932846239180039,-0.8675182180795635,-0.8223292326669958,-0.745630751749638,-0.6250960747967106,-0.46938260049462,-0.3163364449470014,-0.19624432387340343,-0.11378843500721246,-0.06123966337132647,-0.029417679177775893,-0.01107706712749571,-0.0011640851678435973,0.0036660541724677673,0.005558336289253854,0.00585076473490919,0.005352328493800595,0.0045329522843958105,0.0036505401891768607,0.002834320517377017,0.0021383968118119105,0.001575336779961097,0.0011366327032006267,0.0008047043347288387,0.0005595816712056053,0.0003823357357203718,0.00025659284651821825,0.00016897475049090844,0.00010898127281421613,6.862136374839419e-05,4.196512119919551e-05,2.4707376037943425e-05,1.3784714334215032e-05,7.060213364095189e-06,3.075633948932024e-06,8.640870180694178e-07,-1.860309513477686e-07,-4.2482748821109503e-07]",double_integrator,40,5
certificate,True,,3,18,21,1886,2,2,0.04540284570518892,7.856272260013312e-09,-137.8748958392951,-137.76715458108038,0.9491128581497893,0.0,"[0.9491128581497893,0.8486447951151301,-0.06730862579387639,-0.7349103387632434,-0.8239184577070606,-0.8385136238535909,-0.8264627436666561,-0.7929363186272248,-0.7335295080035008,-0.6419589171072565,-0.5208680568546347,-0.38990570707889444,-0.27312969887814714,-0.182344297256213,-0.11737289257992242,-0.0731252825164392,-0.04398703971060496,-0.025324992731056147,-0.013701726229394879,-0.006692614654353549,-0.002637917748130859,-0.0004268616907522621,0.0006686428353134393,0.001115567222756635,0.0012060974144108435,0.001117669097227686,0.0009539531081710971,0.0007723340093552915,0.000601987497291828,0.0004555287247801731,0.00033634162562601246,0.00024306059894999308,0.00017221268980486284,0.0001196988606447133,8.156271189712751e-05,5.433695366530653e-05,3.51513467293725e-05,2.171529784126232e-05,1.2242608098470362e-05,5.357055585026222e-06]",double_integrator,40,6
cost_gated_certificate,True,,3,18,21,1886,2,2,0.04540284570518892,7.856272260013312e-09,-137.8748958392951,-137.76715458108038,0.9491128581497893,0.0,"[0.9491128581497893,0.8486447951151301,-0.06730862579387639,-0.7349103387632434,-0.8239184577070606,-0.8385136238535909,-0.8264627436666561,-0.7929363186272248,-0.7335295080035008,-0.6419589171072565,-0.5208680568546347,-0.38990570707889444,-0.27312969887814714,-0.182344297256213,-0.11737289257992242,-0.0731252825164392,-0.04398703971060496,-0.025324992731056147,-0.013701726229394879,-0.006692614654353549,-0.002637917748130859,-0.0004268616907522621,0.0006686428353134393,0.001115567222756635,0.0012060974144108435,0.001117669097227686,0.0009539531081710971,0.0007723340093552915,0.000601987497291828,0.0004555287247801731,0.00033634162562601246,0.00024306059894999308,0.00017221268980486284,0.0001196988606447133,8.156271189712751e-05,5.433695366530653e-05,3.51513467293725e-05,2.171529784126232e-05,1.2242608098470362e-05,5.357055585026222e-06]",double_integrator,40,6
interval_chebyshev,True,,3,18,21,2000,0,2,0.04839389815043418,7.856272076536448e-09,-137.87489583929508,-137.76715458108038,0.9491128581498027,0.0,"[0.9491128581498027,0.8486447951150989,-0.06730862579413197,-0.7349103387632274,-0.8239184577069457,-0.8385136238535607,-0.826462743666576,-0.7929363186272052,-0.7335295080034405,-0.6419589171071052,-0.5208680568544791,-0.3899057070790541,-0.2731296988782327,-0.18234429725627455,-0.11737289258010557,-0.07312528251634601,-0.04398703971029718,-0.025324992731399133,-0.01370172622930372,-0.00669261465435997,-0.0026379177482182274,-0.0004268616906541861,0.000668642835313254,0.0011155672228110962,0.00120609741423387,0.0011176690972950728,0.0009539531081310952,0.0007723340093847837,0.0006019874973373358,0.00045552872473640063,0.00033634162562833563,0.00024306059896183713,0.00017221268986110618,0.00011969886064343573,8.156271190955441e-05,5.4336953690277753e-05,3.515134674122421e-05,2.171529785350364e-05,1.2242608105633427e-05,5.357055587727546e-06]",double_integrator,40,6
cg,True,,3,16,19,120,0,2,0.04824688728123697,7.566599141834761e-09,-137.8748956495469,-137.7671545810625,0.949112867012585,0.0,"[0.949112867012585,0.8486411564301074,-0.06730328187340362,-0.7349110590653999,-0.8239191864989296,-0.8385138475408469,-0.8264624094107106,-0.7929338776952162,-0.7335282803150649,-0.6419615403926381,-0.5208796039820275,-0.3898934040257865,-0.27313206518939254,-0.18235137627064055,-0.1173661427452972,-0.07311577879540346,-0.043985675581336224,-0.0253309523809182,-0.01370890588985015,-0.006696478408246151,-0.0026375685335348594,-0.00042392776874203335,0.0006718925898111791,0.0011175400633778867,0.0012063147942530403,0.0011165572603131072,0.0009523586708269082,0.000771062628801632,0.0006015208229439015,0.0004559477430334401,0.00033740613614886904,0.00024436582504233845,0.0001733507863783004,0.00012037784089353569,8.166356810321902e-05,5.39124154614387e-05,3.4382991988842134e-05,2.0849666448093228e-05,1.1523784481725158e-05,4.9657450986201345e-06]",double_integrator,40,6
direct,True,,3,15,18,0,0,2,0.0,4.249711412043388e-08,-137.8748969246666,-137.76715458097604,0.9491127424682266,0.0,"[0.9491127424682266,0.8486624877593976,-0.06732576417074417,-0.7349133774915225,-0.8239189806356402,-0.8385129137904394,-0.8264621055788558,-0.7929358346786702,-0.7335294062607085,-0.6419587479468635,-0.5208677466656221,-0.3899053017452126,-0.2731293094966159,-0.18234399787519484,-0.117372715797354,-0.07312523107733442,-0.043987100537476446,-0.025325146451821743,-0.01370195065228079,-0.006692886364113818,-0.0026382132866091907,-0.00042715839811933315,0.0006683663330816604,0.0011153307433652351,0.0012059189616129779,0.0011175644335776299,0.0009539350596534926,0.0007724115169496757,0.0006021645259140559,0.00045580322360354346,0.0003367047734270819,0.00024349656969092646,0.00017269912713367065,0.00012020816399321027,8.206412277313586e-05,5.479930258527296e-05,3.554620933134946e-05,2.2020224486515263e-05,1.2444057007203686e-05,5.452678155077615e-06]",double_integrator,40,6
certificate,True,,3,29,32,3261,8,1,0.048503810157974635,1.473647639552243e-07,-14.483790795448424,-14.261407172317186,0.9900716466279562,0.0,"[0.9900716466279562,0.9849613335887224,0.9747732474480265,0.9492023487256944,0.8383086759053705,-0.23404182883565572,-0.7814206714743126,-0.8493010297423208,-0.8602739453562869,-0.8494426079115218,-0.8201865884487719,-0.7675404808572505,-0.683013522862457,-0.5637978183712665,-0.42608979456403834,-0.29806599193640243,-0.19703121406909058,-0.12482795691053836,-0.07612435176930726,-0.04449580757858387,-0.02458736094458661,-0.012451838121542888,-0.005335855461456511,-0.0013783387604001823,0.0006493521206868911,0.0015405999303870989,0.0017956208366796606,0.0017210278986869055,0.0014981848752772585,0.0012292772936622464,0.0009677908800725678,0.0007382723157021514,0.0005488515625727339,0.00039896371860126146,0.0002839488139893634,0.00019766465257135436,0.0001338661480757171,8.684117346300172e-05,5.161433795840276e-05,2.391138777835528e-05]",double_integrator,40,7
cost_gated_certificate,True,,3,29,32,3261,8,1,0.048503810157974635,1.473647639552243e-07,-14.483790795448424,-14.261407172317186,0.9900716466279562,0.0,"[0.9900716466279562,0.9849613335887224,0.9747732474480265,0.9492023487256944,0.8383086759053705,-0.23404182883565572,-0.7814206714743126,-0.8493010297423208,-0.8602739453562869,-0.8494426079115218,-0.8201865884487719,-0.7675404808572505,-0.683013522862457,-0.5637978183712665,-0.42608979456403834,-0.29806599193640243,-0.19703121406909058,-0.12482795691053836,-0.07612435176930726,-0.04449580757858387,-0.02458736094458661,-0.012451838121542888,-0.005335855461456511,-0.0013783387604001823,0.0006493521206868911,0.0015405999303870989,0.0017956208366796606,0.0017210278986869055,0.0014981848752772585,0.0012292772936622464,0.0009677908800725678,0.0007382723157021514,0.0005488515625727339,0.00039896371860126146,0.0002839488139893634,0.00019766465257135436,0.0001338661480757171,8.684117346300172e-05,5.161433795840276e-05,2.391138777835528e-05]",double_integrator,40,7
interval_chebyshev,True,,3,29,32,9051,0,1,0.04811512790407203,1.4745622360745985e-07,-14.48379079554029,-14.261407172317144,0.9900716466310124,0.0,"[0.9900716466310124,0.98496133356249,0.9747732473466136,0.9492023489816779,0.8383086763846092,-0.23404182889590652,-0.7814206713930987,-0.8493010301808586,-0.8602739457582773,-0.8494426082273852,-0.8201865884553045,-0.76754048086079,-0.6830135229527381,-0.5637978183545262,-0.42608979450686646,-0.2980659918475596,-0.19703121395600265,-0.12482795678042688,-0.07612435163036561,-0.04449580744009665,-0.024587360814671055,-0.012451838006256447,-0.0053358553646872,-0.0013783386841772069,0.0006493521766216227,0.0015405999674828533,0.0017956208577934497,0.0017210279068499302,0.0014981848737159972,0.0012292772849650697,0.0009677908664096146,0.0007382722985513545,0.0005488515431569794,0.00039896369794345743,0.0002839487930891955,0.00019766463265532029,0.00013386613040329014,8.684115928196998e-05,5.1614328241664905e-05,2.391138301410537e-05]",double_integrator,40,7
cg,True,,3,29,32,221,0,1,0.047781603358464826,1.2887521327457945e-08,-14.48378993978702,-14.261407172326969,0.9900716314575717,0.0,"[0.9900716314575717,0.9849613202895677,0.974773136455905,0.9492015412405704,0.8383053021550351,-0.23404147604055633,-0.7814201570282794,-0.8492991030481288,-0.8602708890443979,-0.8494406155159011,-0.8201872091700025,-0.7675399263820514,-0.6830136311829926,-0.5637967152184364,-0.42609047812532613,-0.2980664888188189,-0.19703481428439848,-0.12482853230761341,-0.0761232769292742,-0.04449581439106276,-0.024588310396565248,-0.012452594144887147,-0.005335958872294457,-0.001378073003852159,0.0006495337012415558,0.0015404883359260964,0.0017953139115675712,0.0017207742429859395,0.0014981950422252195,0.0012296147615511815,0.0009683659645965676,0.0007389058891329708,0.0005493589858322502,0.00039922003610015313,0.0002839174872941671,0.0001973914632683207,0.00013345122710890507,8.640451247023072e-05,5.1265718124214924e-05,2.372730799579154e-05]",double_integrator,40,7
direct,True,,3,34,37,0,0,0,0.0,1.2885422594305993e-07,-14.483789960034565,-14.261407172327631,0.9900716836604324,0.0,"[0.9900716836604324,0.9849613212114645,0.9747731393845211,0.9492015518038777,0.838304985991621,-0.23404154647088873,-0.7814203576556062,-0.8492986765746305,-0.8602711456095095,-0.8494407307992431,-0.8201866731993297,-0.7675403471325274,-0.68301281995037,-0.5637979374784716,-0.4260900917898801,-0.29806645770992846,-0.19703181949512144,-0.12482866385847646,-0.07612511565478522,-0.04449657492714999,-0.024588080376495094,-0.012452465083893777,-0.005336354663304376,-0.0013786871732140386,0.000649162945951887,0.001540563711431895,0.0017957188748524235,0.0017212331494671975,0.0014984666309454733,0.0012296053973080185,0.0009681387479020543,0.000738618492975362,0.0005491799442503697,0.0003992628428625001,0.0002842107554297142,0.00019788400531998667,0.00013403943804165126,8.696682627104977e-05,5.1693118987712276e-05,2.394707669485406e-05]",double_integrator,40,7
certificate,True,,3,34,37,13912,8,0,0.04976986849058342,3.1489333506400135e-06,-149.05284603943798,-148.68977351619264,0.9960737681203827,0.0,"[-0.9960737681203827,-0.9948838904306112,-0.9930913012499046,-0.9902100563116684,-0.9851683047925287,-0.9751124000675788,-0.949824179891826,-0.8391958880604761,0.2569201848605515,0.78973418904017,0.8546614114318126,0.8652760909201183,0.8550189667514444,0.827097141796501,0.7765783946085362,0.6946085469207497,0.5768577747604517,0.43789200239248294,0.30667189619078644,0.20238492606211078,0.12776142089040143,0.0775064810009611,0.044971498954129906,0.0245772850790384,0.012211861278480578,0.005012941814785387,0.0010512519462928295,-0.0009428435256554115,-0.0017862774573327675,-0.0019919699922046354,-0.0018727122577787095,-0.0016122816495219468,-0.0013132344693128027,-0.0010284258715937214,-0.000781376972668706,-0.000579132466205996,-0.00042015489887848375,-0.00029900418129513235,-0.0002089821305317405,-0.00014352352596311353,-9.684104836770756e-05,-6.414615020408072e-05,-4.1644863765597266e-05,-2.6427479151030992e-05,-1.6320052640065585e-05,-9.734092094040895e-06,-5.531810780534296e-06,-2.913431830266114e-06,-1.3271661490989566e-06,-3.9964148244817675e-07,1.1651420883479506e-07,3.81376290820896e-07,4.958137225015146e-07,5.215565639913196e-07,4.952907263830634e-07,4.3834802020848744e-07,3.631595209020762e-07,2.773309555851848e-07,1.8597197040550645e-07,9.27467033936901e-08]",double_integrator,60,0
cost_gated_certificate,True,,3,34,37,13912,8,0,0.04976986849058342,3.1489333506400135e-06,-149.05284603943798,-148.68977351619264,0.9960737681203827,0.0,"[-0.9960737681203827,-0.9948838904306112,-0.9930913012499046,-0.9902100563116684,-0.9851683047925287,-0.9751124000675788,-0.949824179891826,-0.8391958880604761,0.2569201848605515,0.78973418904017,0.8546614114318126,0.8652760909201183,0.8550189667514444,0.827097141796501,0.7765783946085362,0.6946085469207497,0.5768577747604517,0.43789200239248294,0.30667189619078644,0.20238492606211078,0.12776142089040143,0.0775064810009611,0.044971498954129906,0.0245772850790384,0.012211861278480578,0.005012941814785387,0.0010512519462928295,-0.0009428435256554115,-0.0017862774573327675,-0.0019919699922046354,-0.0018727122577787095,-0.0016122816495219468,-0.0013132344693128027,-0.0010284258715937214,-0.000781376972668706,-0.000579132466205996,-0.00042015489887848375,-0.00029900418129513235,-0.0002089821305317405,-0.00014352352596311353,-9.684104836770756e-05,-6.414615020408072e-05,-4.1644863765597266e-05,-2.6427479151030992e-05,-1.6320052640065585e-05,-9.734092094040895e-06,-5.531810780534296e-06,-2.913431830266114e-06,-1.3271661490989566e-06,-3.9964148244817675e-07,1.1651420883479506e-07,3.81376290820896e-07,4.958137225015146e-07,5.215565639913196e-07,4.952907263830634e-07,4.3834802020848744e-07,3.631595209020762e-07,2.773309555851848e-07,1.8597197040550645e-07,9.27467033936901e-08]",double_integrator,60,0
interval_chebyshev,True,,3,36,39,45030,0,0,0.04973654785218125,9.977045456024349e-08,-149.0528444243488,-148.68977351741555,0.9960728876642071,0.0,"[-0.9960728876642071,-0.9948849280337193,-0.9930908176137063,-0.9902096650251043,-0.985167894076451,-0.9751109763801402,-0.9498243729761191,-0.839197148145075,0.2569161621565897,0.7897356792995363,0.8546628169832002,0.8652776883245256,0.8550204536348488,0.8270980249395624,0.7765789138312652,0.6946088801320817,0.5768581172852083,0.437892415712283,0.30667232702487995,0.20238525785885328,0.12776161339321906,0.07750651384187027,0.04497135247280139,0.024576964121611176,0.012211404941601,0.005012415363286488,0.0010507317943081254,-0.0009432844604220419,-0.0017865808460701077,-0.0019920986790078563,-0.0018726524676910378,-0.0016120415120448697,-0.0013128398455469967,-0.0010279146061437678,-0.0007807926475258578,-0.0005785185807329593,-0.0004195501764198295,-0.00029843940503679816,-0.00020847863639713633,-0.0001430932287096331,-9.64876944791782e-05,-6.386736495975483e-05,-4.1434526328832273e-05,-2.6277997191189556e-05,-1.6224184994565676e-05,-9.686106438301498e-06,-5.5278927695324334e-06,-2.951402889635854e-06,-1.4056728014291751e-06,-5.170573273812263e-07,-3.678865959367889e-08,1.9749830766705466e-07,2.894290283906915e-07,3.0341136664470035e-07,2.781610576588179e-07,2.358924645815037e-07,1.884219289133985e-07,1.4109837684854474e-07,9.521453072813792e-08,4.935618420655084e-08]",double_integrator,60,0
cg,True,,3,40,43,357,0,1,0.049059234051408614,4.568764619427213e-08,-149.05284381255237,-148.68977351626486,0.9960728610887621,0.0,"[-0.9960728610887621,-0.9948849350674746,-0.9930908360522186,-0.9902096718827611,-0.9851679639088581,-0.9751109996096413,-0.9498247820572985,-0.8391888785751132,0.2569179873176275,0.7897120453222428,0.8546902641841442,0.865270458508975,0.855007494895221,0.8270991901879051,0.7765759270337244,0.6946083673561918,0.5769132233487366,0.4378297676433741,0.30666846249779683,0.20244726473441288,0.1277504113010495,0.0774484834380517,0.04493698899677279,0.024586994175192008,0.012245310232096334,0.005042567981861575,0.0010623543961387082,-0.000949483747725953,-0.0018008421587162727,-0.002003503254310824,-0.0018744301570154524,-0.00160330078551726,-0.0012974877855561435,-0.001012162282382505,-0.000770541625165751,-0.0005774814033269191,-0.0004284500712453535,-0.00031522379633225253,-0.00022923262730784337,-0.00016325232685670713,-0.0001119862555031838,-7.19696829016329e-05,-4.1130864726513194e-05,-1.8251221623334768e-05,-2.481823373849948e-06,7.000759687768903e-06,1.1175161196778487e-05,1.1209878964956897e-05,8.393252988986896e-06,4.008612939181662e-06,-7.989912452663679e-07,-5.129264063985289e-06,-8.385938988773355e-06,-1.0283318542243265e-05,-1.0806856235024646e-05,-1.0142743613192004e-05,-8.595004637726558e-06,-6.507807219719979e-06,-4.206554661838872e-06,-1.965140937131932e-06]",double_integrator,60,0
direct,True,,3,35,38,0,0,0,0.0,2.539065596889328e-08,-149.05284446702262,-148.68977351741654,0.9960728785172135,0.0,"[-0.9960728785172135,-0.9948849332151056,-0.9930908347212221,-0.9902096801942418,-0.9851679034937619,-0.9751109546464782,-0.9498243923008715,-0.839197253311142,0.2569161043908561,0.7897356720911248,0.8546628549824012,0.8652777398705814,0.8550205127249741,0.8270980378959143,0.7765789045170959,0.6946088538307242,0.5768581077448169,0.43789240961221787,0.3066723216640971,0.2023852512103168,0.12776160365366232,0.0775064999510371,0.04497133324822687,0.02457693933533503,0.012211375577828244,0.005012383254797111,0.0010506992484605375,-0.0009433149368320758,-0.0017866068019131202,-0.001992117985449481,-0.001872663595489743,-0.0016120437418967756,-0.0013128333664828454,-0.0010279004733312503,-0.0007807726124424174,-0.0005784948237475263,-0.00041952500204459764,-0.0002984149490360984,-0.0002084566382973944,-0.00014307489233832024,-9.647365228074366e-05,-6.385773094048096e-05,-4.142902196698896e-05,-2.6276107489823185e-05,-1.6225319534958878e-05,-9.68972978974158e-06,-5.533607396981561e-06,-2.9589729225682204e-06,-1.4149950039702603e-06,-5.280896339906636e-07,-4.9460174000190917e-08,1.8337563198823336e-07,2.742240108784932e-07,2.876972558461552e-07,2.6269211119398697e-07,2.215336899907339e-07,1.760425161249415e-07,1.3144453843963367e-07,8.878243106101444e-08,4.6284617296521116e-08]",double_integrator,60,0
certificate,True,,3,33,36,67397,7,0,0.047119121033751626,1.0986896667760329e-07,-788.0931467706536,-787.5883714062178,0.9977996648109705,0.0,"[-0.9977996648109705,-0.9973217549553963,-0.9966721983272233,-0.995761589361938,-0.9944350364491874,-0.9924035197313565,-0.9890790806703161,-0.9830986085525272,-0.9706145238709837,-0.9362133170261628,-0.7366361666770683,0.516865405485019,0.8115392336946858,0.8558854488403289,0.8601013463530743,0.8448097060825491,0.8105195403671998,0.7509173193924523,0.6576080883236107,0.5313752649629037,0.3932275944899753,0.2706195066461655,0.1767186441634375,0.11078992666277863,0.06681900493892712,0.038515398246794216,0.020853136922893693,0.010194098496290183,0.004025342196348056,0.0006600618279789875,-0.0010084541899465732,-0.0016902390659685304,-0.0018296384702385974,-0.0016965345714201941,-0.0014486450529286635,-0.001173296151167525,-0.000914907244050326,-0.000692703696554599,-0.0005118646863670727,-0.00037034205665828544,-0.0002628825104811584,-0.00018328475677045026,-0.00012557332805082262,-8.453059722358134e-05,-5.586641983210711e-05,-3.619747202029473e-05,-2.2938679489322582e-05,-1.4164853662340815e-05,-8.473342014419281e-06,-4.862143042687795e-06,-2.628626277550902e-06,-1.2890183928720368e-06,-5.16459088154233e-07,-9.456581835408381e-08,1.1661452959805931e-07,2.0505327346750841e-07,2.2391106620740597e-07,2.0326549323643924e-07,1.5779782549050958e-07,9.147842300523209e-08]",double_integrator,60,1
cost_gated_certificate,True,,3,33,36,67397,7,0,0.047119121033751626,1.0986896667760329e-07,-788.0931467706536,-787.5883714062178,0.9977996648109705,0.0,"[-0.9977996648109705,-0.9973217549553963,-0.9966721983272233,-0.995761589361938,-0.9944350364491874,-0.9924035197313565,-0.9890790806703161,-0.9830986085525272,-0.9706145238709837,-0.9362133170261628,-0.7366361666770683,0.516865405485019,0.8115392336946858,0.8558854488403289,0.8601013463530743,0.8448097060825491,0.8105195403671998,0.7509173193924523,0.6576080883236107,0.5313752649629037,0.3932275944899753,0.2706195066461655,0.1767186441634375,0.11078992666277863,0.06681900493892712,0.038515398246794216,0.020853136922893693,0.010194098496290183,0.004025342196348056,0.0006600618279789875,-0.0010084541899465732,-0.0016902390659685304,-0.0018296384702385974,-0.0016965345714201941,-0.0014486450529286635,-0.001173296151167525,-0.000914907244050326,-0.000692703696554599,-0.0005118646863670727,-0.00037034205665828544,-0.0002628825104811584,-0.00018328475677045026,-0.00012557332805082262,-8.453059722358134e-05,-5.586641983210711e-05,-3.619747202029473e-05,-2.2938679489322582e-05,-1.4164853662340815e-05,-8.473342014419281e-06,-4.862143042687795e-06,-2.628626277550902e-06,-1.2890183928720368e-06,-5.16459088154233e-07,-9.456581835408381e-08,1.1661452959805931e-07,2.0505327346750841e-07,2.2391106620740597e-07,2.0326549323643924e-07,1.5779782549050958e-07,9.147842300523209e-08]",double_integrator,60,1
interval_chebyshev,True,,3,34,37,78817,0,0,0.04927213345653247,1.209713883960632e-06,-788.0931458229179,-787.5883714052662,0.99779952425311,0.0,"[-0.99779952425311,-0.997322574736957,-0.9966719047387319,-0.9957610065013214,-0.9944347572018267,-0.9924033354176697,-0.9890788599319058,-0.9830984367517445,-0.9706143119553443,-0.9362129870562264,-0.7366362331232515,0.5168657903533856,0.8115400136026093,0.8558852319463716,0.8601013108291186,0.8448095322498086,0.8105198680262351,0.7509174873861152,0.6576082276373766,0.5313755726258167,0.3932278553594728,0.2706197024058675,0.17671880205290974,0.1107900476075733,0.06681909624816447,0.03851547019854776,0.020853194195242605,0.010194134893806455,0.004025342816080384,0.0006600103568837369,-0.0010085677661921615,-0.0016904137016023515,-0.0018298613296994282,-0.001696783696150215,-0.001448893934706149,-0.0011735186544037193,-0.0009150816667126788,-0.0006928153115068629,-0.0005119066108716004,-0.000370314708901255,-0.000262792095990007,-0.00018314131181718297,-0.00012538876853701917,-8.431709561594527e-05,-5.563526739996291e-05,-3.5958454186305465e-05,-2.2699878813912457e-05,-1.3932747872614785e-05,-8.253045822998676e-06,-4.657672026858615e-06,-2.443096989360461e-06,-1.124754538284446e-06,-3.750091750845715e-07,2.3333784010171145e-08,2.110836396107978e-07,2.770826334213583e-07,2.753230296436344e-07,2.366207020088335e-07,1.7626611324939219e-07,9.870474643094944e-08]",double_integrator,60,1
cg,True,,3,46,49,501,0,1,0.049232597004536895,4.010067087412203e-09,-788.0931469119262,-787.5883714061242,0.9977997175583906,0.0,"[-0.9977997175583906,-0.9973217480144482,-0.9966722289329656,-0.9957617144274779,-0.9944350003456254,-0.9924034754307804,-0.9890789692369967,-0.9830984359035395,-0.9706153213402879,-0.936214055510001,-0.7366305362641508,0.5168631456708435,0.8115376311287782,0.8558858136606585,0.8600990538641571,0.8448064523604221,0.8105173395522629,0.7509170058975901,0.6576133700811693,0.5313980520910828,0.39319438742949464,0.2706285016301964,0.17673532627963032,0.11077450175964919,0.06679875179951894,0.03851420566372693,0.02086812240350427,0.010210802067892731,0.0040332645578422515,0.0006574561567302267,-0.0010171533073956933,-0.0016989927260488927,-0.0018341847902009676,-0.0016956487031124054,-0.001443690013151187,-0.0011669351354489893,-0.0009097650352513247,-0.0006904553413870646,-0.0005129038734670802,-0.00037394539513987214,-0.0002676678211684753,-0.00018774497349695422,-0.00012851665950899794,-8.533453200574155e-05,-5.452847643463296e-05,-3.322137603201545e-05,-1.9124092284748438e-05,-1.0373509472991834e-05,-5.430994819709805e-06,-3.0325390288078093e-06,-2.1706347439336763e-06,-2.087028273065366e-06,-2.260541322472069e-06,-2.381678454927893e-06,-2.313083055244347e-06,-2.040442407531017e-06,-1.6214243748282423e-06,-1.1406371407748947e-06,-6.769138528010739e-07,-2.8621767911643185e-07]",double_integrator,60,1
