repeat,system,method,products,accepted_degree_two,total_ns
2,81,cg,8,False,31375
1,31,interval_chebyshev,359,False,1116791
1,77,cg,2,False,24167
3,206,cost_gated_certificate,21,False,71084
2,193,cg,10,False,40041
1,113,cost_gated_certificate,20,False,58791
4,229,interval_chebyshev,79,False,222375
2,176,cost_gated_certificate,33,False,144458
2,174,cg,5,False,21583
1,161,interval_chebyshev,97,False,276541
0,197,cg,6,False,24792
2,124,interval_chebyshev,63,False,177708
3,72,interval_chebyshev,269,False,774459
4,136,cost_gated_certificate,298,False,855250
2,215,interval_chebyshev,51,False,146875
0,42,cost_gated_certificate,162,False,473875
0,182,interval_chebyshev,26,False,76250
4,219,direct,0,False,9208
1,162,interval_chebyshev,30,False,86333
1,41,interval_chebyshev,365,False,1036125
4,83,direct,0,False,7833
2,60,cg,1,False,10625
2,10,cost_gated_certificate,22,False,88500
1,114,cost_gated_certificate,20,False,57458
3,142,interval_chebyshev,14,False,41750
3,56,certificate,2,True,37208
2,184,cg,11,False,42333
4,200,direct,0,False,8750
3,162,certificate,30,False,108917
1,55,direct,0,False,7959
0,203,cg,3,False,15042
0,49,cg,8,False,30791
3,115,certificate,22,False,87292
4,120,cg,2,False,10791
4,81,direct,0,False,7209
1,29,direct,0,False,7125
0,201,interval_chebyshev,54,False,153791
2,42,direct,0,False,6833
0,199,direct,0,False,9500
1,79,certificate,24,False,93084
0,194,certificate,54,False,180709
4,196,interval_chebyshev,30,False,86958
0,114,direct,0,False,7291
4,6,cost_gated_certificate,80,False,250500
3,61,cost_gated_certificate,60,False,191375
1,30,cg,2,False,11208
4,152,interval_chebyshev,100,False,284167
0,158,cg,10,False,38416
2,159,direct,0,False,7333
3,155,cg,1,False,6708
4,168,cg,4,False,17250
2,18,certificate,2,True,35166
4,40,certificate,261,False,755042
2,178,cost_gated_certificate,2,True,36292
0,135,cost_gated_certificate,357,False,1019834
4,116,cost_gated_certificate,4007,False,11330709
0,207,interval_chebyshev,21,False,62000
2,181,interval_chebyshev,27,False,77833
2,31,interval_chebyshev,359,False,1012000
3,216,direct,0,False,12708
2,55,certificate,2,True,44334
4,123,direct,0,False,7834
0,193,interval_chebyshev,54,False,153041
3,228,cost_gated_certificate,2,True,35041
3,147,direct,0,False,8333
1,173,certificate,20,False,82583
0,79,direct,0,False,11291
4,83,certificate,4414,False,12776875
2,45,direct,0,False,40834
0,119,direct,0,False,9125
0,195,direct,0,False,8041
0,164,direct,0,False,7417
0,135,cg,5,False,28834
2,89,interval_chebyshev,97,False,280958
2,199,cost_gated_certificate,2,True,66917
1,127,cost_gated_certificate,121,False,364166
3,16,direct,0,False,8459
1,94,cost_gated_certificate,108,False,328084
0,219,certificate,48,False,160375
2,147,certificate,2,True,35792
4,124,cg,1,False,7833
0,126,cost_gated_certificate,62,False,198916
2,127,direct,0,False,7541
0,219,cost_gated_certificate,48,False,158750
1,18,direct,0,False,7333
4,91,cost_gated_certificate,2,True,34875
1,144,direct,0,False,8250
3,220,certificate,2,True,34625
1,67,cg,5,False,22875
3,212,cg,1,False,7209
2,54,direct,0,False,7584
1,93,certificate,62,False,202459
4,145,certificate,14,False,65292
1,105,certificate,380,False,1084875
3,153,direct,0,False,7667
1,60,cost_gated_certificate,2,True,35000
4,33,interval_chebyshev,162,False,459750
2,77,cost_gated_certificate,25,False,102334
0,119,cost_gated_certificate,2,True,34000
4,154,interval_chebyshev,46,False,132834
0,116,certificate,4007,False,11468042
4,209,cg,1,False,12417
4,206,cg,5,False,44542
3,190,cg,9,False,43417
4,204,cost_gated_certificate,21,False,67875
1,222,direct,0,False,13542
1,189,cg,11,False,45042
1,61,certificate,60,False,241292
0,0,interval_chebyshev,30,False,93375
2,228,interval_chebyshev,80,False,236916
2,205,cost_gated_certificate,21,False,61542
0,136,cost_gated_certificate,298,False,895833
3,77,certificate,25,False,105084
3,104,cost_gated_certificate,263,False,769250
2,209,cg,1,False,8541
2,31,cg,2,False,11625
0,8,cg,3,False,14500
4,199,certificate,2,True,39959
2,208,cg,7,False,29084
0,202,certificate,2,True,35792
2,97,direct,0,False,8208
3,81,certificate,24,False,94375
1,180,cost_gated_certificate,27,False,102042
1,31,certificate,2,True,33583
2,156,interval_chebyshev,39,False,113875
2,151,interval_chebyshev,178,False,505917
2,84,direct,0,False,7750
3,15,interval_chebyshev,3183,False,9267292
1,220,interval_chebyshev,4339,False,12817125
0,188,cost_gated_certificate,38,False,159375
4,217,interval_chebyshev,39,False,118167
4,104,cg,8,False,40083
0,50,cost_gated_certificate,28,False,110208
1,76,cost_gated_certificate,2,True,38625
