system,method,products,accepted_degree_two,preconditioned_relative_residual,original_relative_residual,original_residual_norm,original_gradient_norm
0,certificate,30,False,0.04147787118422194,0.033725758830647795,1.0751320514275486,31.87866155440031
0,cost_gated_certificate,30,False,0.04147787118422194,0.033725758830647795,1.0751320514275486,31.87866155440031
0,interval_chebyshev,30,False,0.04147787118422194,0.033725758830647795,1.0751320514275486,31.87866155440031
0,cg,6,False,0.04607044043741025,0.024755943925003188,0.789186357844889,31.87866155440031
0,direct,0,False,0.0,2.0586270274186013e-16,6.562627427381876e-15,31.87866155440031
1,certificate,198,False,0.023308948360080125,0.018040189996494913,0.41219874436440357,22.84891370016009
1,cost_gated_certificate,198,False,0.023308948360080125,0.018040189996494913,0.41219874436440357,22.84891370016009
1,interval_chebyshev,198,False,0.023308948360080125,0.018040189996494913,0.41219874436440357,22.84891370016009
1,cg,6,False,0.04738647143679425,0.02227477726244743,0.5089544633599495,22.84891370016009
1,direct,0,False,0.0,1.7715390053732666e-16,4.047774185024121e-15,22.84891370016009
2,certificate,467,False,0.043072095379569054,0.044578340355101075,1.9752842530181438,44.31040360146815
2,cost_gated_certificate,467,False,0.043072095379569054,0.044578340355101075,1.9752842530181438,44.31040360146815
2,interval_chebyshev,467,False,0.043072095379569054,0.044578340355101075,1.9752842530181438,44.31040360146815
2,cg,6,False,0.0385247615058401,0.01313316672692763,0.5819359182355357,44.31040360146815
2,direct,0,False,0.0,1.7041545892900703e-16,7.551177765073721e-15,44.31040360146815
3,certificate,471,False,0.016398420602822372,0.01571504409494422,0.8521192171978782,54.22315152599658
3,cost_gated_certificate,471,False,0.016398420602822372,0.01571504409494422,0.8521192171978782,54.22315152599658
3,interval_chebyshev,471,False,0.016398420602822372,0.01571504409494422,0.8521192171978782,54.22315152599658
3,cg,6,False,0.041180013547087654,0.03305191553561483,1.7921790243120832,54.22315152599658
3,direct,0,False,0.0,1.3598907329183872e-16,7.373756126983226e-15,54.22315152599658
4,certificate,350,False,0.034359346359349105,0.03454068085680187,1.5725873795094791,45.528557645666666
4,cost_gated_certificate,350,False,0.034359346359349105,0.03454068085680187,1.5725873795094791,45.528557645666666
4,interval_chebyshev,350,False,0.034359346359349105,0.03454068085680187,1.5725873795094791,45.528557645666666
4,cg,4,False,0.04678858920777786,0.04618336617044635,2.1026620489620984,45.528557645666666
4,direct,0,False,0.0,1.1736262559601818e-16,5.343351064895108e-15,45.528557645666666
5,certificate,157,False,0.04003872706007124,0.04105634600151044,0.937744553641033,22.8404289462714
5,cost_gated_certificate,157,False,0.04003872706007124,0.04105634600151044,0.937744553641033,22.8404289462714
5,interval_chebyshev,157,False,0.04003872706007124,0.04105634600151044,0.937744553641033,22.8404289462714
5,cg,3,False,0.04504735502392979,0.05954421309757004,1.3600153684166914,22.8404289462714
5,direct,0,False,0.0,1.7424626942870952e-16,3.979859536039302e-15,22.8404289462714
6,certificate,80,False,0.034902015987514405,0.035475264627418554,0.3898432790883416,10.989157746466386
6,cost_gated_certificate,80,False,0.034902015987514405,0.035475264627418554,0.3898432790883416,10.989157746466386
6,interval_chebyshev,80,False,0.034902015987514405,0.035475264627418554,0.3898432790883416,10.989157746466386
6,cg,3,False,0.021115058303834106,0.023945993914717398,0.2631463045247536,10.989157746466386
6,direct,0,False,0.0,1.813696464779616e-16,1.9930996555671615e-15,10.989157746466386
7,certificate,43,False,0.03662987280780511,0.03563708751673374,0.18211950071622984,5.110392386322644
7,cost_gated_certificate,43,False,0.03662987280780511,0.03563708751673374,0.18211950071622984,5.110392386322644
7,interval_chebyshev,43,False,0.03662987280780511,0.03563708751673374,0.18211950071622984,5.110392386322644
7,cg,3,False,0.03443406204752541,0.03228490779844652,0.16498854700630963,5.110392386322644
7,direct,0,False,0.0,2.7826979218939866e-16,1.4220678273482873e-15,5.110392386322644
8,certificate,26,False,0.03892740085774706,0.03768026971257175,0.08441940853591656,2.2404141260101076
8,cost_gated_certificate,26,False,0.03892740085774706,0.03768026971257175,0.08441940853591656,2.2404141260101076
8,interval_chebyshev,26,False,0.03892740085774706,0.03768026971257175,0.08441940853591656,2.2404141260101076
8,cg,3,False,0.029470405730225257,0.03024615332973799,0.06776390917741265,2.2404141260101076
