actual_squared_residual,actual_to_chebyshev_actual,atomic_pattern,certificate,certificate_to_actual,certificate_to_chebyshev_bound,chebyshev_interval_bound,coverage_slack,covered,degree,design_value,family,name,raw_certificate_excess,scaled_certificate_excess,solver,source
1.9721522630525295e-31,7.791519404143365e-31,True,2.6145752229922437e-13,1.3257471403071898e+18,1.0329584568691053e-12,0.2531152347517455,5.798739266538465e-13,True,2,nan,two_point,two_point_k10_0,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,2.607983510198283e-30,True,2.6145752229922437e-13,1.3257471403071898e+18,3.4575266806136776e-12,0.07561981336694072,5.798739266538465e-13,True,3,nan,two_point,two_point_k10_0,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,9.393606975381071e-30,True,2.6145752229922437e-13,1.3257471403071898e+18,1.2453547584781097e-11,0.020994621855280778,5.798739266538465e-13,True,4,nan,two_point,two_point_k10_0,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,1.2771767191905048e-28,True,2.6145752229922437e-13,1.3257471403071898e+18,1.6932133831336727e-10,0.001544149868549576,5.798739266538465e-13,True,6,nan,two_point,two_point_k10_0,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,1.7523396091152444e-27,True,2.6145752229922437e-13,1.3257471403071898e+18,2.3231592256314588e-09,0.00011254395282706354,5.798739266538465e-13,True,8,nan,two_point,two_point_k10_0,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,7.791519404143368e-31,True,2.6145752229922437e-13,1.3257471403071898e+18,1.0329584568691053e-12,0.2531152347517455,5.798739266538465e-13,True,2,nan,two_point,two_point_k10_1,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,2.6079835101982805e-30,True,2.6145752229922437e-13,1.3257471403071898e+18,3.4575266806136776e-12,0.07561981336694072,5.798739266538465e-13,True,3,nan,two_point,two_point_k10_1,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,9.393606975381072e-30,True,2.6145752229922437e-13,1.3257471403071898e+18,1.2453547584781097e-11,0.020994621855280778,5.798739266538465e-13,True,4,nan,two_point,two_point_k10_1,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,1.2771767191905048e-28,True,2.6145752229922437e-13,1.3257471403071898e+18,1.6932133831336727e-10,0.001544149868549576,5.798739266538465e-13,True,6,nan,two_point,two_point_k10_1,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,1.7523396091152448e-27,True,2.6145752229922437e-13,1.3257471403071898e+18,2.3231592256314588e-09,0.00011254395282706354,5.798739266538465e-13,True,8,nan,two_point,two_point_k10_1,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,7.791519404143366e-31,True,2.6145752229922437e-13,1.3257471403071898e+18,1.0329584568691053e-12,0.2531152347517455,5.798739266538465e-13,True,2,nan,two_point,two_point_k10_2,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,2.6079835101982833e-30,True,2.6145752229922437e-13,1.3257471403071898e+18,3.4575266806136776e-12,0.07561981336694072,5.798739266538465e-13,True,3,nan,two_point,two_point_k10_2,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,9.393606975381072e-30,True,2.6145752229922437e-13,1.3257471403071898e+18,1.2453547584781097e-11,0.020994621855280778,5.798739266538465e-13,True,4,nan,two_point,two_point_k10_2,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,1.2771767191905048e-28,True,2.6145752229922437e-13,1.3257471403071898e+18,1.6932133831336727e-10,0.001544149868549576,5.798739266538465e-13,True,6,nan,two_point,two_point_k10_2,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,1.752339609115245e-27,True,2.6145752229922437e-13,1.3257471403071898e+18,2.3231592256314588e-09,0.00011254395282706354,5.798739266538465e-13,True,8,nan,two_point,two_point_k10_2,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,7.791519404143366e-31,True,2.6145752229922437e-13,1.3257471403071898e+18,1.0329584568691053e-12,0.2531152347517455,5.798739266538465e-13,True,2,nan,two_point,two_point_k10_3,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,2.6079835101982805e-30,True,2.6145752229922437e-13,1.3257471403071898e+18,3.4575266806136776e-12,0.07561981336694072,5.798739266538465e-13,True,3,nan,two_point,two_point_k10_3,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,9.393606975381071e-30,True,2.6145752229922437e-13,1.3257471403071898e+18,1.2453547584781097e-11,0.020994621855280778,5.798739266538465e-13,True,4,nan,two_point,two_point_k10_3,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,1.2771767191905044e-28,True,2.6145752229922437e-13,1.3257471403071898e+18,1.6932133831336727e-10,0.001544149868549576,5.798739266538465e-13,True,6,nan,two_point,two_point_k10_3,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.9721522630525295e-31,1.7523396091152444e-27,True,2.6145752229922437e-13,1.3257471403071898e+18,2.3231592256314588e-09,0.00011254395282706354,5.798739266538465e-13,True,8,nan,two_point,two_point_k10_3,-2.6145752229922437e-13,-0.45088683984803546,analytic,heldout_synthetic
1.723911890081804e-26,2.0168237907377205e-26,True,3.419131644477602e-11,1983356379260981.8,4.0000803312049746e-11,0.8547657450288332,6.836813852652838e-11,True,2,nan,two_point,two_point_k100_0,-3.4191316444776e-11,-0.500106002323129,analytic,heldout_synthetic
1.723911890081804e-26,2.427909734560883e-26,True,3.419131644477602e-11,1983356379260981.8,4.815410260311167e-11,0.710039531347566,6.836813852652838e-11,True,3,nan,two_point,two_point_k100_0,-3.4191316444776e-11,-0.500106002323129,analytic,heldout_synthetic
1.723911890081804e-26,3.094635517505764e-26,True,3.419131644477602e-11,1983356379260981.8,6.13776509513267e-11,0.5570645978597355,6.836813852652838e-11,True,4,nan,two_point,two_point_k100_0,-3.4191316444776e-11,-0.500106002323129,analytic,heldout_synthetic
1.723911890081804e-26,5.689876112625766e-26,True,3.419131644477602e-11,1983356379260981.8,1.128505208518097e-10,0.3029788093727502,6.836813852652838e-11,True,6,nan,two_point,two_point_k100_0,-3.4191316444776e-11,-0.500106002323129,analytic,heldout_synthetic
1.723911890081804e-26,1.156638712681623e-25,True,3.419131644477602e-11,1983356379260981.8,2.294026769297301e-10,0.14904497585810386,6.836813852652838e-11,True,8,nan,two_point,two_point_k100_0,-3.4191316444776e-11,-0.500106002323129,analytic,heldout_synthetic
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,3.993430156090752e-11,0.8547657450288332,6.836813852828962e-11,True,2,nan,two_point,two_point_k100_1,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,4.807404590717965e-11,0.710039531347566,6.836813852828962e-11,True,3,nan,two_point,two_point_k100_1,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,6.127560996886398e-11,0.5570645978597355,6.836813852828962e-11,True,4,nan,two_point,two_point_k100_1,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,1.126629056882988e-10,0.3029788093727502,6.836813852828962e-11,True,6,nan,two_point,two_point_k100_1,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
