actual_relative_residual,bb1_converged,bb1_final_residual,bb1_products,bb1_reductions,bb2_converged,bb2_final_residual,bb2_products,bb2_reductions,certificate_passed,certified_squared_residual,cg_converged,cg_final_residual,cg_products,cg_reductions,chebyshev_budget,collective_reductions,condition,converged,coverage_slack,covered,design_seconds,dimension,family,hessian_product_saving,hessian_products,minres_converged,minres_final_residual,minres_products,minres_reductions,name,point_residual_relative_discrepancy,raw_certificate_excess,scaled_certificate_excess,selected_degree,source,spectral_recurrence_squared_discrepancy,tolerance
5.425304418600953e-16,True,0.008492331047087794,3,3,True,0.00042407456648740124,4,4,True,2.6145752229922437e-13,True,6.923604496377685e-16,2,4,9,1,10.0,True,5.798739266538465e-13,True,0.0024349999148398638,384,two_point,0.7777777777777778,2,True,3.2730485538637106e-15,2,4,two_point_k10_0,6.255789220938235e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,9.712405403965737e-32,0.01
5.425304418600953e-16,True,1.1232565103949515e-08,6,6,True,1.05646190683995e-11,6,6,True,2.6145752229922437e-13,True,6.923604496377685e-16,2,4,16,1,10.0,True,5.798739266538465e-13,True,0.0024349999148398638,384,two_point,0.875,2,True,3.2730485538637106e-15,2,4,two_point_k10_0,6.255789220938235e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,9.712405403965737e-32,0.0001
5.425304418600953e-16,True,1.1232565103949515e-08,6,6,True,1.05646190683995e-11,6,6,True,2.6145752229922437e-13,True,6.923604496377685e-16,2,4,23,1,10.0,True,5.798739266538465e-13,True,0.0024349999148398638,384,two_point,0.9130434782608696,2,True,3.2730485538637106e-15,2,4,two_point_k10_0,6.255789220938235e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,9.712405403965737e-32,1e-06
5.102271275231763e-16,False,0.06640498652710455,9,9,True,0.0005341199969244175,7,7,True,2.6145752229922437e-13,True,4.768234741448012e-16,2,4,9,1,10.0,True,5.798739266538465e-13,True,0.0021251249127089977,384,two_point,0.7777777777777778,2,True,7.668889795429623e-16,2,4,two_point_k10_1,5.545004217446322e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,6.311649535529861e-32,0.01
5.102271275231763e-16,True,2.569533625795604e-09,14,14,True,7.216384058160684e-11,10,10,True,2.6145752229922437e-13,True,4.768234741448012e-16,2,4,16,1,10.0,True,5.798739266538465e-13,True,0.0021251249127089977,384,two_point,0.875,2,True,7.668889795429623e-16,2,4,two_point_k10_1,5.545004217446322e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,6.311649535529861e-32,0.0001
5.102271275231763e-16,True,2.569533625795604e-09,14,14,True,7.216384058160684e-11,10,10,True,2.6145752229922437e-13,True,4.768234741448012e-16,2,4,23,1,10.0,True,5.798739266538465e-13,True,0.0021251249127089977,384,two_point,0.9130434782608696,2,True,7.668889795429623e-16,2,4,two_point_k10_1,5.545004217446322e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,6.311649535529861e-32,1e-06
5.366903170496886e-16,True,0.006168632139876074,3,3,True,0.00030273719286893607,4,4,True,2.6145752229922437e-13,True,6.195386578286591e-16,2,4,9,1,10.0,True,5.798739266538465e-13,True,0.0020637500565499067,384,two_point,0.7777777777777778,2,True,2.188844539555753e-15,2,4,two_point_k10_2,6.01620842111301e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,9.082127010964231e-32,0.01
5.366903170496886e-16,True,3.3529528451815486e-09,6,6,True,2.8138728380509508e-12,6,6,True,2.6145752229922437e-13,True,6.195386578286591e-16,2,4,16,1,10.0,True,5.798739266538465e-13,True,0.0020637500565499067,384,two_point,0.875,2,True,2.188844539555753e-15,2,4,two_point_k10_2,6.01620842111301e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,9.082127010964231e-32,0.0001
5.366903170496886e-16,True,3.3529528451815486e-09,6,6,True,2.8138728380509508e-12,6,6,True,2.6145752229922437e-13,True,6.195386578286591e-16,2,4,23,1,10.0,True,5.798739266538465e-13,True,0.0020637500565499067,384,two_point,0.9130434782608696,2,True,2.188844539555753e-15,2,4,two_point_k10_2,6.01620842111301e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,9.082127010964231e-32,1e-06
5.241704811515095e-16,False,0.097796705286906,9,9,True,0.0006486054578246084,7,7,True,2.6145752229922437e-13,True,5.255654274277149e-16,2,4,9,1,10.0,True,5.798739266538465e-13,True,0.0020504167769104242,384,two_point,0.7777777777777778,2,True,5.810301002566106e-16,2,4,two_point_k10_3,6.055458192048304e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,7.753946700535205e-32,0.01
5.241704811515095e-16,True,5.41115200029997e-06,14,14,True,1.0935867028601537e-10,10,10,True,2.6145752229922437e-13,True,5.255654274277149e-16,2,4,16,1,10.0,True,5.798739266538465e-13,True,0.0020504167769104242,384,two_point,0.875,2,True,5.810301002566106e-16,2,4,two_point_k10_3,6.055458192048304e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,7.753946700535205e-32,0.0001
5.241704811515095e-16,True,3.229848418312515e-13,16,16,True,1.0935867028601537e-10,10,10,True,2.6145752229922437e-13,True,5.255654274277149e-16,2,4,23,1,10.0,True,5.798739266538465e-13,True,0.0020504167769104242,384,two_point,0.9130434782608696,2,True,5.810301002566106e-16,2,4,two_point_k10_3,6.055458192048304e-16,-2.6145752229922437e-13,-0.45088683984803546,2,heldout_synthetic,7.753946700535205e-32,1e-06
1.312802584404274e-13,True,0.00010694585356625728,3,3,True,0.00521000511568892,3,3,True,3.419131644477602e-11,True,9.259946658434182e-15,2,4,27,1,100.0,True,6.836813852652838e-11,True,0.0020420830696821213,384,two_point,0.9259259259259259,2,True,2.7212637570976643e-14,2,4,two_point_k100_0,7.752594793375376e-15,-3.4191316444776e-11,-0.500106002323129,2,heldout_synthetic,4.612644632632712e-30,0.01
1.312802584404274e-13,True,1.3692382926123917e-16,6,6,True,5.346963205472589e-07,4,4,True,3.419131644477602e-11,True,9.259946658434182e-15,2,4,50,1,100.0,True,6.836813852652838e-11,True,0.0020420830696821213,384,two_point,0.96,2,True,2.7212637570976643e-14,2,4,two_point_k100_0,7.752594793375376e-15,-3.4191316444776e-11,-0.500106002323129,2,heldout_synthetic,4.612644632632712e-30,0.0001
8.690948334989667e-07,True,1.3692382926123917e-16,6,6,True,5.346963205472589e-07,4,4,False,1e-12,True,9.259946658434182e-15,2,4,73,1,100.0,True,1.1368683772190148e-13,True,0.0020420830696821213,384,two_point,0.0,73,True,2.7212637570976643e-14,2,4,two_point_k100_0,3.758615780837056e-15,-2.446741703854033e-13,-2.1521767628361737,73,heldout_synthetic,8.986703432277766e-27,1e-06
3.1129865778453057e-15,True,0.00015527560134554304,16,16,True,1.4801586111556405e-05,7,7,True,3.413447302591521e-11,True,5.633489407279752e-15,2,4,27,1,100.0,True,6.836813852828962e-11,True,0.0020123329013586044,384,two_point,0.9259259259259259,2,True,1.2156873991707764e-14,2,4,two_point_k100_1,4.770106466613696e-15,-3.413447302591521e-11,-0.49927457088495875,2,heldout_synthetic,9.690685433845027e-30,0.01
3.1129865778453057e-15,True,7.482755832288275e-07,17,17,True,1.4801586111556405e-05,7,7,True,3.413447302591521e-11,True,5.633489407279752e-15,2,4,50,1,100.0,True,6.836813852828962e-11,True,0.0020123329013586044,384,two_point,0.96,2,True,1.2156873991707764e-14,2,4,two_point_k100_1,4.770106466613696e-15,-3.413447302591521e-11,-0.49927457088495875,2,heldout_synthetic,9.690685433845027e-30,0.0001
8.690948334989658e-07,True,7.482755832288275e-07,17,17,True,1.7238671946304812e-10,9,9,False,1e-12,True,5.633489407279752e-15,2,4,73,1,100.0,True,1.1368683772190148e-13,True,0.0020123329013586044,384,two_point,0.0,73,True,1.2156873991707764e-14,2,4,two_point_k100_1,3.923696533243302e-15,-2.446741703854048e-13,-2.152176762836187,73,heldout_synthetic,1.0501316370302109e-26,1e-06
