actual_squared_residual,coverage_slack,covered,dual_l1,family,inflation,interval_correction,name,nominal_certificate,raw_certificate_excess,robust_certificate,robust_design_value,scaled_certificate_excess,solver,status
0.001622480552881988,1.2176485348261925e-13,True,0.06742779698911973,three_cluster,3.063658297365601e-08,5.816979018309029e-09,three_cluster_k10_0,0.0018514134923051893,-0.00022896357600617505,0.001851444128888163,0.0018514383840683025,-1880374914.9080803,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.0018241780218460541,1.8693361579203743e-13,True,0.6908411171893923,three_cluster,1.4985977966298566e-06,1.168862808993066e-08,three_cluster_k10_1,0.0068113381335237755,-0.004988658709474351,0.006812836731320405,0.00681282506356377,-26686793000.48529,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.001098900788347405,1.2147755621131162e-13,True,0.06567847349738695,three_cluster,2.9705365207780346e-08,5.840658572622828e-09,three_cluster_k10_2,0.0012681141105782175,-0.00016924302759602021,0.0012681438159434252,0.001268138054861465,-1393204085.3836408,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.0011158657948125098,2.0459611699677652e-13,True,0.8574947728373128,three_cluster,1.854659644864691e-06,1.3574285929349266e-08,three_cluster_k10_3,0.005003038166720819,-0.003889027031553174,0.005004892826365684,0.005004879366267582,-19008313005.346268,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.0007286514896654311,4.316990316319742e-13,True,2.865906229644434,three_cluster,4.46955956373324e-06,3.509172263821011e-08,three_cluster_k100_0,0.0009037669346651234,-0.0001795850045634255,0.0009082364942288566,0.000908199600886554,-415995847.58050305,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.28828830499430086,7.805423943585555e-13,True,5.73444624826335,three_cluster,9.994815469427376e-06,6.04943544290388e-08,three_cluster_k100_1,0.2912728326635111,-0.0029945224846796847,0.29128282747898054,0.29128276825638866,-3836463600.5973296,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.0009507004835541538,4.285764342980307e-13,True,2.8313935274477076,three_cluster,4.396725930215072e-06,3.3613287324057865e-08,three_cluster_k100_2,0.0011849739066596282,-0.00023867014903568946,0.0011893706325898433,0.0011893359251325224,-556890509.9194489,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.3066275163076106,7.593718369146441e-13,True,5.81442099756593,three_cluster,1.0162047178630118e-05,6.516566878022516e-08,three_cluster_k100_3,0.31095036218716493,-0.004333007926732968,0.31096052423434356,0.31096045694401997,-5706042436.783196,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.0004988668923469004,2.2453807589012335e-13,True,0.9737153851744927,three_cluster,4.4976789720428765e-07,1.5882804402670187e-08,three_cluster_k1000_0,0.0008433032540342555,-0.0003448861295845594,0.0008437530219314598,0.0008437373121412647,-1535980604.7029984,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.45005648397042947,7.131320556592439e-12,True,61.930770113523856,three_cluster,0.00011464127542953895,6.197018059794913e-07,three_cluster_k1000_1,0.4504720607051853,-0.0005302180101853793,0.45058670198061485,0.45058597979816567,-74350606.73232917,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.0004938781510445093,2.2453899531457633e-13,True,0.9737356517177457,three_cluster,4.4990112760029573e-07,1.5775266334474934e-08,three_cluster_k1000_2,0.0008360962412364836,-0.00034266799131957466,0.0008365461423640839,0.000836530520160348,-1526095682.5762095,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
0.5049283975600118,7.504477793504842e-12,True,64.93234626898835,three_cluster,0.00012001909696857105,6.498345681391341e-07,three_cluster_k1000_3,0.5053176084508921,-0.0005092299878488582,0.5054376275478607,0.50543697885257,-67856818.5370072,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
